0_precision,0_recall,0_f1_score,0_support,1_precision,1_recall,1_f1_score,1_support,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1_score,macro_avg_support,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1_score,weighted_avg_support,random_seed,num_shots,training_time,A,B,C,D,E,inkscape,openrgb,veloren
0.782608695652174,0.9642857142857143,0.864,112.0,0.9111111111111111,0.5774647887323944,0.7068965517241379,71.0,0.8142076502732241,0.8468599033816425,0.7708752515090543,0.7854482758620689,183.0,0.8324648240542752,0.8142076502732241,0.8030472960241192,183.0,1,1,0.4177382302004844,0.5231907657445837,0.49367974768926454,0.5485522537793613,0.2352608422375864,0.28514478080388783,0.8852719298245615,0.8068480196303,0.8030472960241192
0.9534883720930233,0.36283185840707965,0.5256410256410257,113.0,0.4857142857142857,0.9714285714285714,0.6476190476190476,70.0,0.5956284153005464,0.7196013289036545,0.6671302149178255,0.5866300366300367,183.0,0.7745583936967848,0.5956284153005464,0.5722992854140395,183.0,4,1,0.7450696988962591,0.3063752276867031,0.5681706090078715,0.3333333333333333,0.5035917496443812,0.4751645989161105,0.1325402993645606,0.2884914924911224,0.5722992854140395
0.75,0.8761061946902655,0.8081632653061225,113.0,0.7254901960784313,0.5285714285714286,0.6115702479338843,70.0,0.7431693989071039,0.7377450980392157,0.7023388116308471,0.7098667566200034,183.0,0.7406246651666131,0.7431693989071039,0.7329637504642827,183.0,2,1,0.5001221669372171,0.31088859910581224,0.6048267641528724,0.3405684754521964,0.5035917496443812,0.4751645989161105,0.23739290085679318,0.4062734792720647,0.7329637504642827
0.7985611510791367,0.9823008849557522,0.8809523809523809,113.0,0.9545454545454546,0.6,0.7368421052631579,70.0,0.8360655737704918,0.8765533028122956,0.7911504424778761,0.8088972431077694,183.0,0.8582272780881108,0.8360655737704918,0.8258282317816399,183.0,3,1,0.4844527270179242,0.5569572375175745,0.5538068640458716,0.4338680387409201,0.24641523167391347,0.29337422042001593,0.8110526315789474,0.7604823066662959,0.8258282317816399
0.8045112781954887,0.9553571428571429,0.8734693877551021,112.0,0.9,0.6338028169014085,0.743801652892562,71.0,0.8306010928961749,0.8522556390977444,0.7945799798792756,0.808635520323832,183.0,0.841558815070463,0.8306010928961749,0.8231611408958652,183.0,5,1,0.39875594596378505,0.46403937725999894,0.5261053441281611,0.3863285119873192,0.19366293122390685,0.31201308844036935,0.8153995792586171,0.8276283184268726,0.8231611408958652
0.7785714285714286,0.9646017699115044,0.8616600790513834,113.0,0.9069767441860465,0.5571428571428572,0.6902654867256637,70.0,0.8087431693989071,0.8427740863787375,0.7608723135271808,0.7759627828885236,183.0,0.8276882159649983,0.8087431693989071,0.7960993060306163,183.0,6,1,0.4482261249795556,0.4961748633879782,0.5520786401564058,0.3921922383017926,0.19017756239584732,0.3034937516816646,0.7814937419845451,0.7427714928534596,0.7960993060306163
0.8440366972477065,0.8214285714285714,0.832579185520362,112.0,0.7297297297297297,0.7605633802816901,0.7448275862068966,71.0,0.7978142076502732,0.786883213488718,0.7909959758551308,0.7887033858636293,183.0,0.7996880923636828,0.7978142076502732,0.798533483054482,183.0,7,1,0.4070208119228482,0.540160603222254,0.5343009591564505,0.41185047720042417,0.6949291723485272,0.3873305722891566,0.7087630267046463,0.6169889682550446,0.798533483054482
0.7898550724637681,0.9732142857142857,0.872,112.0,0.9333333333333333,0.5915492957746479,0.7241379310344828,71.0,0.825136612021858,0.8615942028985507,0.7823817907444668,0.7980689655172414,183.0,0.8455215015443099,0.825136612021858,0.8146327491991708,183.0,8,1,0.3360589458607137,0.4223263075722092,0.5505696636792348,0.38976566236250604,0.20843386602325747,0.26932648627296074,0.7677607610027762,0.7219826089701101,0.8146327491991708
0.7941176470588235,0.9557522123893806,0.8674698795180723,113.0,0.8936170212765957,0.6,0.717948717948718,70.0,0.819672131147541,0.8438673341677096,0.7778761061946903,0.7927092987333951,183.0,0.83217751697819,0.819672131147541,0.810275992578975,183.0,9,1,0.44908947916701436,0.48553716568594657,0.5385920428682016,0.51731893837157,0.21658773481433577,0.3387310267533647,0.783790945896209,0.8153327536300937,0.810275992578975
0.8412698412698413,0.9464285714285714,0.8907563025210085,112.0,0.8947368421052632,0.7183098591549296,0.796875,71.0,0.8579234972677595,0.8680033416875522,0.8323692152917506,0.8438156512605042,183.0,0.8620138689163712,0.8579234972677595,0.8543324091931854,183.0,10,1,0.49458303302526474,0.5554591451416303,0.5229424459651444,0.6156111929307806,0.7283415464787839,0.3280936929735529,0.7210532509926103,0.838416159426332,0.8543324091931854
