0_precision,0_recall,0_f1_score,0_support,1_precision,1_recall,1_f1_score,1_support,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1_score,macro_avg_support,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1_score,weighted_avg_support
0.9823008849557522,0.8283582089552238,0.8987854251012146,134.0,0.6714285714285714,0.9591836734693877,0.7899159663865546,49.0,0.8633879781420765,0.8268647281921617,0.8937709412123058,0.8443506957438847,183.0,0.8990618501861792,0.8633879781420765,0.8696345864289832,183.0
0.9734513274336283,0.873015873015873,0.9205020920502092,126.0,0.7714285714285715,0.9473684210526315,0.8503937007874016,57.0,0.8961748633879781,0.8724399494310999,0.9101921470342522,0.8854478964188054,183.0,0.9105262067107417,0.8961748633879781,0.8986650521486789,183.0
0.9823008849557522,0.7985611510791367,0.8809523809523809,139.0,0.6,0.9545454545454546,0.7368421052631579,44.0,0.8360655737704918,0.7911504424778761,0.8765533028122956,0.8088972431077694,183.0,0.8903815464964457,0.8360655737704918,0.8463029157593437,183.0
0.9821428571428571,0.8461538461538461,0.9090909090909091,130.0,0.7183098591549296,0.9622641509433962,0.8225806451612904,53.0,0.8797814207650273,0.8502263581488934,0.9042089985486212,0.8658357771260997,183.0,0.9057322074523644,0.8797814207650273,0.884036023909107,183.0
0.9911504424778761,0.8057553956834532,0.8888888888888888,139.0,0.6142857142857143,0.9772727272727273,0.7543859649122807,44.0,0.8469945355191257,0.8027180783817952,0.8915140614780903,0.8216374269005848,183.0,0.9005381581038044,0.8469945355191257,0.856549388042054,183.0
0.9732142857142857,0.8195488721804511,0.889795918367347,133.0,0.6619718309859155,0.94,0.7768595041322314,50.0,0.8524590163934426,0.8175930583501005,0.8797744360902255,0.8333277112497892,183.0,0.888175363657354,0.8524590163934426,0.8589389745872608,183.0
0.9464285714285714,0.828125,0.8833333333333333,128.0,0.6901408450704225,0.8909090909090909,0.7777777777777778,55.0,0.8469945355191257,0.818284708249497,0.8595170454545454,0.8305555555555555,183.0,0.8694022055832261,0.8469945355191257,0.8516089860352155,183.0
0.9732142857142857,0.8074074074074075,0.8825910931174089,135.0,0.6338028169014085,0.9375,0.7563025210084033,48.0,0.8415300546448088,0.803508551307847,0.8724537037037037,0.8194468070629062,183.0,0.8841883266813998,0.8415300546448088,0.849466221744555,183.0
0.9646017699115044,0.923728813559322,0.9437229437229437,118.0,0.8714285714285714,0.9384615384615385,0.9037037037037037,65.0,0.9289617486338798,0.9180151706700379,0.9310951760104302,0.9237133237133237,183.0,0.9315074644394243,0.9289617486338798,0.9295084595631044,183.0
0.9821428571428571,0.8088235294117647,0.8870967741935484,136.0,0.6338028169014085,0.9574468085106383,0.7627118644067796,47.0,0.8469945355191257,0.8079728370221329,0.8831351689612015,0.824904319300164,183.0,0.8926784752229222,0.8469945355191257,0.8551509230461269,183.0
